RespondentID,CollectorID,StartDate,EndDate,Please confirm that you are at least 18 years old. ,Please select the metro area you are located in. ,Please enter your ZIP code. ,,,Please assign grades to the state of California on six timely issues (click the skip button for issues where you don't want to assign a grade).,,,,,,Please grade the state of California on disaster preparedness (click the skip button if you don't want to assign a grade).,What issue should be included in the next report card and why is it important to Californians?,Gender,Age,Household Income,Education,Location (Census Region)
3118464250,50955952,3/12/14 3:41,3/12/14 3:43,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95830,,A,A-,D+,B-,D,A-,B-,,Male,45-60,"$150,000+",Graduate degree,Pacific
3118464142,50956072,3/12/14 3:41,3/12/14 3:44,I confirm that I am at least 18 years old.,San Jose Metro Area,,95125,,A-,B,C,SKIP,B,B,B,,Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
3118462965,50955952,3/12/14 3:40,3/12/14 3:42,I confirm that I am at least 18 years old.,Sacramento Metro Area,,96150,,C,B-,B+,SKIP,D,A,A,,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3118462744,50956072,3/12/14 3:40,3/12/14 3:42,I confirm that I am at least 18 years old.,San Jose Metro Area,,95130,,C+,B,C+,B,B-,A,B,,Male,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3118462699,50956032,3/12/14 3:40,3/12/14 3:42,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94518,,A-,B+,B,SKIP,C+,B,B+,"housing, transportation issues",Female,45-60,"$0 - $24,999",Associate or bachelor degree,Pacific
3118461194,50956032,3/12/14 3:38,3/12/14 3:44,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94109,,A,B+,B+,SKIP,B,A,B-,Global warming/climate change,Female,30-44,"$25,000 - $49,999",Graduate degree,Pacific
3118455942,50956032,3/12/14 3:32,3/12/14 3:34,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94501,,B+,SKIP,D+,SKIP,SKIP,SKIP,SKIP,,Female,30-44,"$100,000 - $149,999",Graduate degree,Pacific
3118455725,50956032,3/12/14 3:32,3/12/14 3:33,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94568,,SKIP,B-,D,SKIP,SKIP,SKIP,SKIP,,Female,45-60,"$150,000+",Some college,Pacific
3118455135,50956032,3/12/14 3:13,3/12/14 3:40,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94114,,C+,C+,B,B-,A+,A+,C,"clinical trials, bone marrow donors, blood drives-educate and challenge the public.  REmind our citizens that supporting democracy is more than paying taxes-we need to volunteer, donate, etc.l",Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3118452277,50956032,3/12/14 3:28,3/12/14 3:35,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94121,,SKIP,A,A,SKIP,B,F,A-,Public transportation. It looks to me that there is some unnecessary improvements and overspending in this area such as poorly designed bus stop shelters.,Male,45-60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3118450331,50956072,3/12/14 3:26,3/12/14 3:28,I confirm that I am at least 18 years old.,San Jose Metro Area,,95129,,A,A,B+,B+,B,B,B+,none,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3118446656,50956032,3/12/14 3:22,3/12/14 3:25,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94710,,B+,B,C+,B+,A,A,B,global warming. actually its too late but we may be able to get an extra year if we stop using oil.,Female,> 60,"$50,000 - $99,999",Some college,Pacific
3118443993,50956032,3/12/14 3:19,3/12/14 3:21,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94939,,B,C-,SKIP,SKIP,B,B,C+,,Female,30-44,"$150,000+",Graduate degree,Pacific
3118436536,50956032,3/12/14 3:12,3/12/14 3:15,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94610,,B+,C,C,D+,,,B-,Fracking (natural Gas extraction),Male,> 60,"$150,000+",Graduate degree,Pacific
3118436217,50956072,3/12/14 3:11,3/12/14 3:14,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94306,,SKIP,B+,B,SKIP,SKIP,A,B-,How is the state of California doing in caring for those who are out of work?,Female,30-44,"$150,000+",Graduate degree,Pacific
3118432826,50956032,3/12/14 3:08,3/12/14 3:09,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94116,,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,,Male,45-60,"$50,000 - $99,999",Some college,Pacific
3118432480,50956032,3/12/14 3:08,3/12/14 3:10,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94132,,A+,B-,C+,B,A-,A+,B+,Affordable housing in San Francisco for middle class families. People working service jobs can't afford to live here and have to commute a long way for a low waged job. Without low waged workers who's going to do all the grunt work that the rich people need done?,Female,> 60,"$25,000 - $49,999",Graduate degree,Pacific
3118432165,50956032,3/12/14 3:07,3/12/14 3:09,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94062,,A,,,,,,B,,Female,45-60,"$0 - $24,999",Less than high school degree,Pacific
3118431444,50956032,3/12/14 3:06,3/12/14 3:09,I confirm that I am at least 18 years old.,San Jose Metro Area,,94025,,SKIP,A-,B-,SKIP,A,A,SKIP,,Male,30-44,"$150,000+",Graduate degree,Pacific
3118431397,50956032,3/12/14 3:06,3/12/14 3:08,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94131,,SKIP,SKIP,SKIP,SKIP,SKIP,A+,B+,,Female,45-60,"$150,000+",Some college,Pacific
3118431366,50956032,3/12/14 3:06,3/12/14 3:14,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94612,,A-,B-,C+,C+,C-,B-,C+,Not sure.,Female,45-60,"$25,000 - $49,999",Graduate degree,Pacific
3118430284,50956032,3/12/14 3:05,3/12/14 3:09,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94044,,F,D-,C-,SKIP,D+,A,D+,Why do illegal immigrants get services when they don't pay taxes?,Female,45-60,"$150,000+",Some college,Pacific
3118430139,50956032,3/12/14 3:05,3/12/14 3:07,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94706,,B+,D+,B-,SKIP,D-,A-,SKIP,,Female,45-60,"$100,000 - $149,999",Graduate degree,Pacific
3118430110,50955952,3/12/14 3:05,3/12/14 3:06,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95747,,B,C,D,A,SKIP,A+,C,,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3118426692,50956032,3/12/14 3:01,3/12/14 3:04,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94502,,B+,B+,D-,SKIP,D-,B+,B+,climate change,Male,> 60,"$50,000 - $99,999",Some college,Pacific
3118422451,50956072,3/12/14 2:57,3/12/14 3:07,I confirm that I am at least 18 years old.,San Jose Metro Area,,95124,,B,C-,C,D-,D-,A,C,"The issue of immigrants should be of top priority because it is important to Californians to assist those about us to a healthy, promising life; because immigrants help California by working hard, learning hard and giving back and finally, because it is really important to immigrants.",Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3118421389,50955952,3/12/14 2:56,3/12/14 2:59,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95650,,SKIP,A,C,SKIP,SKIP,SKIP,SKIP,let me ask this:  what is the previous question doing on the report card:   Access to state services for undocumented immigrants?  Undocumented workers have better access to state services than legal residents.  This is terrible.,Male,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3118421133,50956032,3/12/14 2:56,3/12/14 2:57,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94545,,D+,B-,B-,A-,A-,A-,B,,Male,45-60,"$50,000 - $99,999",Some college,Pacific
3118418076,50956072,3/12/14 2:53,3/12/14 2:57,I confirm that I am at least 18 years old.,San Jose Metro Area,,95124,,B+,B-,C-,B-,C+,A-,B-,The need to tax oil and gas extraction like all other oil producing states. It is important to raise revenues from corporations that have gotten away with their stealing from the common resources for a century without paying fair extraction taxes.,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3118417845,50955952,3/12/14 2:53,3/12/14 2:54,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95677,,A,A-,B+,B+,B-,A+,B+,,Female,45-60,"$100,000 - $149,999",Graduate degree,Pacific
3118417120,50956032,3/12/14 2:51,3/12/14 2:54,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94109,,SKIP,B-,C-,C+,SKIP,A+,A,public transportation - get cars off road,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3118414874,50956032,3/12/14 2:50,3/12/14 2:50,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94118,,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,none,Male,18-29,"$150,000+",Less than high school degree,Pacific
3118414642,50956032,3/12/14 2:49,3/12/14 2:51,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94957,,C-,C,C+,,B,B+,A-,,Female,> 60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3118413499,50956032,3/12/14 2:48,3/12/14 2:50,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94066,,B,C+,D+,A,D,A-,D+,,Female,> 60,"$150,000+",Graduate degree,Pacific
3118404450,50955952,3/12/14 2:40,3/12/14 2:42,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95661,,SKIP,C+,C+,SKIP,C-,B+,B-,Water rights and water management.  We need to be better prepared for a big drought.,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
3118401924,50956072,3/12/14 2:37,3/12/14 2:39,I confirm that I am at least 18 years old.,San Jose Metro Area,,95118,,A,SKIP,SKIP,SKIP,SKIP,A,B,.,Male,45-60,"$100,000 - $149,999",Graduate degree,Pacific
3118401159,50956032,3/12/14 2:37,3/12/14 2:38,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94523,,B,C,C-,C+,B-,C+,SKIP,,Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
3118400023,50956072,3/12/14 2:35,3/12/14 2:51,I confirm that I am at least 18 years old.,San Jose Metro Area,,95130,,B,A-,C,SKIP,SKIP,A-,SKIP,Dental care for the poor,Female,> 60,"$150,000+",Some college,Pacific
3118399266,50956032,3/12/14 2:35,3/12/14 2:37,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94564,,B,C+,B,B,B-,A,C+,"public school funding. eliminate remedial classes in  stae college, more funding for JC",Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3118397559,50955952,3/12/14 2:33,3/12/14 2:41,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95677,,A-,B-,C-,SKIP,SKIP,A,SKIP,The water crisis.  Obvious why its important.,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3118397329,50956032,3/12/14 2:33,3/12/14 2:35,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94501,,C+,C+,B,B,B,C,B+,,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3118396766,50956032,3/12/14 2:32,3/12/14 2:34,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94706,,B-,C,C,C,D+,A,SKIP,Fracking,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3118393316,50956032,3/12/14 2:29,3/12/14 2:32,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94609,,SKIP,F,F,F,F,C,SKIP,water plants from sea water for fresh WATER,Female,> 60,,Some college,Pacific
3118392264,50956032,3/12/14 2:28,3/12/14 2:32,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94618,,B,C,C,D+,F,B,SKIP,"Ask about medical marijuana.  It is too easy to get a medical marijuana card, and I don't think medical marijuana is properly regulated.",Female,45-60,"$50,000 - $99,999",Graduate degree,Pacific
3118391469,50955952,3/12/14 2:28,3/12/14 2:29,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95826,,F,A-,C+,A+,A+,F,A-,early childhood and parent education,Female,45-60,"$100,000 - $149,999",Graduate degree,Pacific
3118389131,50956072,3/12/14 2:25,3/12/14 2:28,I confirm that I am at least 18 years old.,San Jose Metro Area,,95037,,SKIP,B,D,SKIP,SKIP,B+,SKIP,,Female,30-44,"$150,000+",Some college,Pacific
3118388987,50956072,3/12/14 2:25,3/12/14 2:27,I confirm that I am at least 18 years old.,San Jose Metro Area,,95129,,C,C-,C-,C-,C-,C-,B,,Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
3118387881,50956072,3/12/14 2:24,3/12/14 2:27,I confirm that I am at least 18 years old.,San Jose Metro Area,,95051,,B+,B-,C-,SKIP,B+,SKIP,SKIP,Low income/homeless services&housing,Female,30-44,"$50,000 - $99,999",Some college,Pacific
3118387871,50956032,3/12/14 2:24,3/12/14 2:31,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94706,,C,C,D+,B,SKIP,A-,C,"We need to cut back on programs that duplicate one another's efforts. Too many programs makes for inefficiency. Let's revamp the services we have and eliminate the non efficacious programs that are just sucking the tax dollar dry. And lets put our efforts into the future of this state: teens and environmental issues. We do a half assed job at supporting students, and throw way too much money at people who have learned helplessness and no longer make efforts to contribute.",Female,30-44,"$150,000+",Graduate degree,Pacific
3118385028,50956072,3/12/14 2:22,3/12/14 2:25,I confirm that I am at least 18 years old.,San Jose Metro Area,,95125,,C,B,B,B,C,C,C,,Female,45-60,"$150,000+",Graduate degree,Pacific
3118379460,50956032,3/12/14 2:17,3/12/14 2:20,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94109,,C,C,D,D,B,A,SKIP,,Female,45-60,"$150,000+",Graduate degree,Pacific
3118379380,50956072,3/12/14 2:17,3/12/14 2:18,I confirm that I am at least 18 years old.,San Jose Metro Area,,94303,,C+,C+,C-,SKIP,C+,B-,B-,,Female,> 60,"$150,000+",High school degree,Pacific
3118377824,50956032,3/12/14 2:15,3/12/14 2:17,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94103,,C+,C-,D+,C,D-,A+,C,,Male,> 60,"$25,000 - $49,999",Some college,Pacific
3118376637,50955952,3/12/14 2:12,3/12/14 2:16,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95760,,A+,C,B-,SKIP,A,F,D,Energy and water conservation,Female,30-44,"$25,000 - $49,999",Some college,Pacific
3118371448,50955952,3/12/14 2:04,3/12/14 2:13,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95667,,B+,B-,B-,SKIP,C-,C,B+,Services to children who are homeless and homelessness in general. Every California community has to deal with this and we need to actively pusue ideas that work.,Female,> 60,"$50,000 - $99,999",Some college,Pacific
3118369828,50956032,3/12/14 2:08,3/12/14 2:10,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94030,,A-,A-,B+,SKIP,SKIP,A,A-,housing increases and how come the tax revenue is not enough to support cities when the house prices are so expensive,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3118365148,50956032,3/12/14 2:04,3/12/14 2:05,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94110,,A-,C-,C-,B+,A-,A+,B-,Affordable housing,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
3118364656,50955952,3/12/14 2:04,3/12/14 2:06,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95827,,A,C-,C,C+,D+,A-,B-,Legalization of marijuana...it would allow tax revenue that otherwise would go to unseemlies,Male,> 60,"$50,000 - $99,999",Some college,Pacific
3118361306,50955952,3/12/14 2:01,3/12/14 2:03,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95826,,A,C+,B,SKIP,D,SKIP,C-,,Female,45-60,"$50,000 - $99,999",Some college,Pacific
3118361200,50956032,3/12/14 2:01,3/12/14 2:03,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94061,,B,C,C,SKIP,B,B,B,taking care of our planet.  The why of it is obvious.,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3118359573,50956032,3/12/14 1:59,3/12/14 2:02,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94605,,A-,B,B,C+,B+,B+,A-,how it handles unemployment insurance practices and in particular providing more accessibility to an actual person to discuss status.,Female,> 60,"$50,000 - $99,999",Some college,Pacific
3118357416,50956032,3/12/14 1:57,3/12/14 1:58,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94610,,SKIP,C-,C,SKIP,SKIP,B,SKIP,,Female,18-29,"$50,000 - $99,999",Graduate degree,Pacific
3118355482,50955952,3/12/14 1:55,3/12/14 1:58,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95822,,A+,F,F,F,D,F,D,"Water policy, environmental policy, minimum wage",Female,> 60,"$50,000 - $99,999",Some college,Pacific
3118354982,50956072,3/12/14 1:54,3/12/14 1:58,I confirm that I am at least 18 years old.,San Jose Metro Area,,95123,,A+,C+,C-,C-,A-,A+,B,Afordable housing,Female,45-60,"$100,000 - $149,999",Some college,Pacific
3118353455,50956072,3/12/14 1:54,3/12/14 1:56,I confirm that I am at least 18 years old.,San Jose Metro Area,,95129,,B+,B+,B-,SKIP,SKIP,C,B,environmental issues  alternative fuel stations for cars,Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
3118347293,50956032,3/12/14 1:49,3/12/14 1:55,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94553,,B+,C+,B-,B-,C-,A+,B+,Public transportation--cost of gasoline going up; road maintenance inadequate for growing numbers of cars,Female,> 60,"$150,000+",Graduate degree,Pacific
3118342688,50956032,3/12/14 1:45,3/12/14 1:47,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94947,,SKIP,SKIP,D,SKIP,A,A,SKIP,Making information available via a live person to answer questions about Obamacare.as,Female,> 60,"$25,000 - $49,999",Graduate degree,Pacific
3118340365,50956032,3/12/14 1:43,3/12/14 1:48,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94546,,SKIP,B+,F,SKIP,F,F,A,"Fracking. There are commercials on TV now that are PROMOTING Fracking saying that it is done safely and DOES NOT harm the Environment. That is a LIE!!! ESPECIALLY in California, where we emphasize about how much we SUPPOSEDLY CARE about the Environment and keeping it CLEAN and SAFE for ALL OF US!!! Shame on WHOMEVER (probably BIG $$$$) that is promoting LIES because there are MANY SHEEPLES out there that UNFORTUNATELY will BELIEVE these commericals W/O doing their homework!!! THANK YOU!!",Female,45-60,"$0 - $24,999",Some college,Pacific
3118335965,50956032,3/12/14 1:39,3/12/14 1:43,I confirm that I am at least 18 years old.,San Francisco Metro Area,,4703,,B,D,D+,C,C,B+,C,Campaign finance; voter participation campaigns,Female,> 60,"$50,000 - $99,999",Graduate degree,Pacific
3118328771,50956032,3/12/14 1:33,3/12/14 1:37,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94930-2130,,A,A-,B,B,A,A,C+,Discrepancy between the wealthy and the poor.,Female,> 60,,Associate or bachelor degree,Pacific
3118328534,50955952,3/12/14 1:33,3/12/14 1:39,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95709,,SKIP,C,B,A+,A+,A+,C,"Water shed/sources. State budget. State requires licensure for too many entry level jobs which contributes to poverty, jobless rates and homelessness - the state needs to downsize.",Female,30-44,"$100,000 - $149,999",Some college,Pacific
3118321400,50956032,3/12/14 1:27,3/12/14 1:30,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94964,,C-,D,D-,SKIP,D-,SKIP,C-,"Water. Because of drought.  Affordable housing, because middle class can't afford to buy a home in most places.  Environmental issues",Female,> 60,"$100,000 - $149,999",Some college,Pacific
3118315060,50956032,3/12/14 1:23,3/12/14 1:24,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94566,,C+,SKIP,SKIP,SKIP,SKIP,SKIP,C+,,Male,> 60,"$150,000+",Some college,Pacific
3118313353,50956032,3/12/14 1:21,3/12/14 1:22,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94062,,B+,B,C+,B,F,A+,SKIP,,Female,45-60,"$50,000 - $99,999",High school degree,Pacific
3118305981,50956032,3/12/14 1:16,3/12/14 1:20,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94518,,A,C+,C+,C,B,A,B-,"water distribution: it affects residents' lifestyles, recreation, ecoonomy, choice of where to live, ability to chose where they live and ultimately health.",Male,> 60,"$25,000 - $49,999",Associate or bachelor degree,Pacific
3118302579,50956032,3/12/14 1:13,3/12/14 1:15,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94114,,B-,SKIP,SKIP,SKIP,B+,A-,B,Social services issues.,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3118299048,50955952,3/12/14 1:10,3/12/14 1:13,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95828,,C,C-,C-,SKIP,SKIP,D+,C-,"water issues, sending water to the south and not being able to support the farms due to this",Female,45-60,"$150,000+",Some college,Pacific
3118298622,50956032,3/12/14 1:10,3/12/14 1:11,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94010,,SKIP,B-,C-,SKIP,B-,B+,C,,Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
3118295441,50956032,3/12/14 1:08,3/12/14 1:10,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94010,,SKIP,C-,D,B-,SKIP,B+,C-,"Infrastructure & environment, because it affects everybody",Male,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3118292673,50956032,3/12/14 1:05,3/12/14 1:07,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94903,,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,,Female,> 60,"$50,000 - $99,999",Some college,Pacific
3118292150,50955952,3/12/14 1:05,3/12/14 4:09,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95621,,F,D,D,SKIP,D-,C-,D-,,Female,18-29,"$50,000 - $99,999",Some college,Pacific
3118291529,50956032,3/12/14 1:05,3/12/14 1:06,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94619,,,C-,C+,C+,B,A,C-,,Female,> 60,"$150,000+",Graduate degree,Pacific
3118291443,50956032,3/12/14 1:04,3/12/14 1:06,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94131,,A,C-,C-,B,B+,B,C+,,Male,45-60,"$150,000+",Some college,Pacific
3118291264,50956032,3/12/14 1:04,3/12/14 1:06,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94553,,B-,F,C+,SKIP,SKIP,SKIP,B+,School safety,Female,> 60,"$100,000 - $149,999",Some college,Pacific
3118290486,50956032,3/12/14 1:04,3/12/14 1:05,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94705,,SKIP,B-,C-,SKIP,,B+,SKIP,,Female,30-44,"$50,000 - $99,999",Graduate degree,Pacific
3118290307,50956072,3/12/14 1:04,3/12/14 1:06,I confirm that I am at least 18 years old.,San Jose Metro Area,,95054,,C+,C,C,C,B+,SKIP,A-,,Female,45-60,"$25,000 - $49,999",Some college,Pacific
3118289525,50955952,3/12/14 1:03,3/12/14 1:05,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95610,,A+,A+,A+,B+,B-,C+,A+,none that I can think of,Female,> 60,"$0 - $24,999",Some college,Pacific
3118288743,50956032,3/12/14 1:03,3/12/14 1:04,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94530,,A,B,B-,B,B+,A+,B+,mental health care...homelessness,Male,45-60,"$50,000 - $99,999",Graduate degree,Pacific
3118287877,50955952,3/12/14 1:02,3/12/14 1:05,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95822,,F,C,B,A,,,C,Imagration. reform,Female,> 60,"$150,000+",Some college,Pacific
3118287518,50955952,3/12/14 1:02,3/12/14 1:04,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95621,,A,B,B-,B,B-,A,B+,"water conservation, usage and distribution",Female,> 60,"$50,000 - $99,999",Some college,Pacific
3118287447,50956032,3/12/14 1:02,3/12/14 1:03,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94560,,SKIP,C+,D+,A+,B-,A-,SKIP,,Female,45-60,"$25,000 - $49,999",Graduate degree,Pacific
3118286392,50956072,3/12/14 1:01,3/12/14 1:02,I confirm that I am at least 18 years old.,San Jose Metro Area,,94306,,B+,B+,B+,C+,C+,A-,B-,,Female,> 60,"$50,000 - $99,999",Graduate degree,Pacific
3118286297,50956032,3/12/14 1:01,3/12/14 1:03,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94030,,SKIP,C+,D,D,SKIP,B,SKIP,I do not know what the state is doing on disaster preparedness.  No one ever talks about it.  Does that mean it is not happening?,Female,> 60,"$50,000 - $99,999",Graduate degree,Pacific
3118285375,50956032,3/12/14 1:00,3/12/14 1:01,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94065,,A+,A,B+,B+,C,B,A+,,Female,30-44,"$150,000+",Graduate degree,Pacific
3118279413,50956032,3/12/14 0:56,3/12/14 1:00,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94109,,A+,B+,B-,C+,C-,A-,A,"Water and it's critical relevance to the State's Agriculture, Business and Human influence..",Male,> 60,"$25,000 - $49,999",Associate or bachelor degree,Pacific
3118278098,50956032,3/12/14 0:55,3/12/14 1:05,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94521,,A-,B,C,B,D,A,B,"Global warming - potential effects on agriculture, water resources, etc.",Male,> 60,"$50,000 - $99,999",Some college,Pacific
3118277174,50956032,3/12/14 0:54,3/12/14 0:56,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94306,,B+,D+,D+,C+,C,B+,B,"Climate change, e.g. drought issues because we have had record drought levels for past several years.",Female,30-44,"$100,000 - $149,999",Graduate degree,Pacific
3118276471,50955952,3/12/14 0:53,3/12/14 0:55,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95628,,SKIP,C,C,B+,D-,A-,SKIP,,Male,45-60,"$100,000 - $149,999",Graduate degree,Pacific
3118276314,50955952,3/12/14 0:53,3/12/14 0:57,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95621,,F,A,A,D-,D-,D-,C+,Crime is rampant.  We need more police.,Female,> 60,"$50,000 - $99,999",Some college,Pacific
3118274186,50955952,3/12/14 0:52,3/12/14 0:55,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95683,,A-,C+,D-,B,A,A,C+,"Access to family planning care and discard the ""Expected Family Contribution"" rule to students for financial aid applications (not every family pays for their offspring past 18 years of age; one can't assume they can attend school without financial assistance).",Female,18-29,"$150,000+",Some college,Pacific
3118273528,50956032,3/12/14 0:51,3/12/14 0:56,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94606,,SKIP,SKIP,B+,,SKIP,A,A,"Water, gang violence, marijuana, prisons, 3 strikes laws.",Male,> 60,"$150,000+",Graduate degree,Pacific
3118272649,50956032,3/12/14 0:06,3/12/14 0:54,I confirm that I am at least 18 years old.,San Francisco Metro Area,,96607,,B-,C-,D-,SKIP,F,B+,C-,Convictions for drug users and veteran's. There is nothing in place that really works and addresses their issues,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3118272019,50956032,3/12/14 0:50,3/12/14 0:53,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94583,,A,F,F,SKIP,A,C,F,"Crime, Environmental, women's shelters, homeless, Animal rights.",Female,30-44,"$50,000 - $99,999",Some college,Pacific
3118271314,50956032,3/12/14 0:49,3/12/14 0:52,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94598,,B+,C,C-,SKIP,SKIP,B,C-,"The levies....holy cow, what is going to happen when - not if - an earthquake or other natural disaster brings them down????",Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
3118271070,50956032,3/12/14 0:49,3/12/14 0:51,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94550,,B,D,D,B,C,B,D,Superstructure maintenance,Female,> 60,"$150,000+",Graduate degree,Pacific
3118269673,50956032,3/12/14 0:48,3/12/14 0:50,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94703,,B+,B-,B,SKIP,D,A-,B,Fracking!,Female,45-60,"$25,000 - $49,999",Some college,Pacific
